Product Category Level 1,Product Category Level 2,Product Category Level 3,Product List Clicks,Product Adds To Cart,Unique Purchases
Beauty,Bella Voste Sand Holo Nail Paints Plum Berry Purple - 409 10 ml,(not set),4,0,0
Beauty,"Blue Heaven 12-in-1 Bling Eyeshadow, Garden Paradise 22 gm",(not set),4,0,0
Beauty,Blue Heaven Bling Nailpaint 811 (Pink Flash) 8 ml,(not set),4,0,0
Beauty,Blue Heaven Creme Lipstick - Riche Coffee Brown 141 4 gm,(not set),4,0,0
Beauty,Blue Heaven Powder Matte -Mahogany Moments B03 3.5 gm,(not set),4,0,0
Beauty,Clovia Botaniqa Pure Rosemary Essential Oil 10 ml,(not set),4,0,0
Beauty,"Elle 18 Color Pop Matte Lip Color, B2, Brown Ginger 4.3 gm",(not set),4,0,0
Beauty,"Elle 18 Color Pop Matte Lip Color, P21, Pink Kiss 4.3 gm",(not set),4,0,0
Beauty,Glimmer Nail Polish Onion Red 5 ml,(not set),4,0,0
Beauty,Insight Cosmetics Non - Transfer Lip Color - 21 ROMANCE 4 ml,(not set),4,0,0
Beauty,Lakme Forever Matte Liquid Lip Colour Wine Touch 5.6 Ml,(not set),4,0,0
Beauty,Lotus Herbals Safe Sun 3 In 1 Matte-Look Daily Sunblock Pa+++ Spf-40 50 Gm,(not set),4,0,0
Beauty,Make-Up,"Eyes,Make-Up Tools & Brushes",4,0,0
Beauty,"Maybelline New York Baby Lips Lip Balm, Berry Crush 4 gm",(not set),4,0,0
Beauty,"Maybelline New York Color Sensational Loaded Bold Lipstick, Midnight Date 1's",(not set),4,0,0
Beauty,"Maybelline New York Fit Me Matte + Poreless Powder, 230 Natural Buff 1's",(not set),4,0,0
Beauty,SmiloShine Lollipop Tongue Cleaner for Kids,(not set),4,0,0
Beauty,Beauty People Wow Range Nail Polish Scarlet - 161 6 ml,(not set),3,0,0
Beauty,Blue Heaven Creme Lipstick - Riche Magenta 133 4 gm,(not set),3,0,0
Beauty,Blue Heaven Creme Lipstick - Riche Maroon 111 4 gm,(not set),3,0,0
Beauty,"Blue Heaven Oil control Compact Powder, Chocolate 601 8 gm",(not set),3,0,0
Beauty,Faces Canada No Transfer Matte Lipstick Tea-Spiller 06 3.5 Ml,(not set),3,0,0
Beauty,Faces Canada Weightless Matte Finish Lipstick Fuschia Wave 02 4.5 Gm,(not set),3,0,0
Beauty,Fogg Deo Force 150 Ml,(not set),3,0,0
Beauty,Gemblue Biocare Charming Body lotion 500 ml,(not set),3,0,0
Beauty,Glimmer Nail Polish Red Lips 5 ml,(not set),3,0,0
Beauty,Insight Cosmetics Matte Lipstick - Cherry Wine 4.2 gm,(not set),3,0,0
Beauty,Insight Cosmetics Matte Lipstick - Rockstar Red 4.2 gm,(not set),3,0,0
Beauty,L'Oreal Paris Dream Lengths Shampoo 192.5 ml,(not set),3,0,0
Beauty,Lotus Herbals Youthrx Anti Ageing Firming Face Masque 80 Gm,(not set),3,0,0
Beauty,"Maybelline New York Baby Lips Alia Loves New York Lip Balm, Brooklyn Bronze 4 Gm",(not set),3,0,0
Beauty,"Maybelline New York Fit Me Matte+Poreless Liquid Foundation Tube, 128 Warm Nude 18 gm",(not set),3,0,0
Beauty,Nature Sure Rogan Jaitun Tail (Olive Oil) 110 ml,(not set),3,0,0
Beauty,Nature's Essence Flawless Gel Face Wash - Papaya 100 ml,(not set),3,0,0
Beauty,Nature's Essence The Whitening Diamond Facial single use kit 20 gm,(not set),3,0,0
Beauty,Vaadi Herbals Handmade Scrub Soap - Elbow-Foot-Knee 75 gm,(not set),3,0,0
Beauty,Ayouthveda Fruit Power Face Wash Gel 100 ml,(not set),2,0,0
Beauty,Beauty People Mini Pro Nail Paints Evening - Party - 229 5.5 ml,(not set),2,0,0
Beauty,Bella Voste Gel-Shine Nail Paint Shade 330 10 Ml,(not set),2,0,0
Beauty,Biotique Bio Papaya Revitalizing Tan Removal Scrub - All Skin Types 50 gm,(not set),2,0,0
Beauty,"Blue Heaven 2X intense Kajal, Green Queen 0.35 gm",(not set),2,0,0
Beauty,Blue Heaven Bling Nailpaint 151 (Yellow Daisy) 8 ml,(not set),2,0,0
Beauty,Blue Heaven Bling Nailpaint 704 (Storm Lightening) 8 ml,(not set),2,0,0
Beauty,Blue Heaven Creme Matte  Lipstick - Red Matte 193 4 gm,(not set),2,0,0
Beauty,"Blue Heaven Hypergel Nailpaint - Romantic Rose, 503 11 ml",(not set),2,0,0
Beauty,Blue Heaven Powder Matte -Mocha Madness B02 3.5 gm,(not set),2,0,0
Beauty,CAL Losangeles SPF 50+ C-02 12 gm,(not set),2,0,0
Beauty,Clean & Clear Pimple Clearing Face Wash 80 gm,(not set),2,0,0
