FC City,L3,Error_Description
BURDWAN,Jams & Preserves,Time Series Formed is very insignificant
BURDWAN,Ketchups,Time Series Formed is very insignificant
BURDWAN,Leaf Tea,Time Series Formed is very insignificant
BURDWAN,Loose Salt & Sugar,Time Series Formed is very insignificant
BURDWAN,Maida,Time Series Formed is very insignificant
BURDWAN,Mango Drinks,Time Series Formed is very insignificant
BURDWAN,Marie & Digestive Biscuits,Time Series Formed is very insignificant
BURDWAN,Masoor Dal,Time Series Formed is very insignificant
BURDWAN,Milk Creams,Time Series Formed is very insignificant
BURDWAN,Milk Powders,Time Series Formed is very insignificant
BURDWAN,Milk Shakes,Time Series Formed is very insignificant
BURDWAN,Mints & Gums,Time Series Formed is very insignificant
BURDWAN,Mix Fruit Juices,Time Series Formed is very insignificant
BURDWAN,Moong Dal,Time Series Formed is very insignificant
BURDWAN,Mosquito Repellents,Time Series Formed is very insignificant
BURDWAN,Muesli,Time Series Formed is very insignificant
BURDWAN,Mustard Oil,Time Series Formed is very insignificant
BURDWAN,Namkeen,Time Series Formed is very insignificant
BURDWAN,Noodles,Time Series Formed is very insignificant
BURDWAN,Oats & Porridge,Time Series Formed is very insignificant
BURDWAN,Orange Juices,Time Series Formed is very insignificant
BURDWAN,Other Atta,Time Series Formed is very insignificant
BURDWAN,Other Biscuits & Cookies,Time Series Formed is very insignificant
BURDWAN,Other Dry Fruits & Nuts,Time Series Formed is very insignificant
BURDWAN,Other Juices,Time Series Formed is very insignificant
BURDWAN,Other Kitchen Essentials,Time Series Formed is very insignificant
BURDWAN,Packaged Water,Time Series Formed is very insignificant
BURDWAN,Pain Relief,Time Series Formed is very insignificant
BURDWAN,Palm Oil,Time Series Formed is very insignificant
BURDWAN,"Pencils, Erasers & Sharpeners",Time Series Formed is very insignificant
BURDWAN,Powdered Spices,Time Series Formed is very insignificant
BURDWAN,Powders,Time Series Formed is very insignificant
BURDWAN,Pure Cow Ghee,Time Series Formed is very insignificant
BURDWAN,Pure Desi Ghee,Time Series Formed is very insignificant
BURDWAN,Raisins,Time Series Formed is very insignificant
BURDWAN,Ready Mixes,Time Series Formed is very insignificant
BURDWAN,Rice Bran Oil,Time Series Formed is very insignificant
BURDWAN,Rusk & Khari,Time Series Formed is very insignificant
BURDWAN,Salt,Time Series Formed is very insignificant
BURDWAN,Sanitary Pads,Time Series Formed is very insignificant
BURDWAN,Sanitizers,Time Series Formed is very insignificant
BURDWAN,Sauces,Time Series Formed is very insignificant
BURDWAN,Shampoos,Time Series Formed is very insignificant
BURDWAN,Shaving Creams & Foams,Time Series Formed is very insignificant
BURDWAN,Soda,Time Series Formed is very insignificant
BURDWAN,Sooji & Rava,Time Series Formed is very insignificant
BURDWAN,Soups,Time Series Formed is very insignificant
BURDWAN,Soya Chunks,Time Series Formed is very insignificant
BURDWAN,Soya Oil,Time Series Formed is very insignificant
BURDWAN,Spreads,Time Series Formed is very insignificant
BURDWAN,Squashes & Syrups,Time Series Formed is very insignificant
BURDWAN,Stain Removers,Time Series Formed is very insignificant
BURDWAN,Sunflower Oil,Time Series Formed is very insignificant
BURDWAN,Talcum Powders,Time Series Formed is very insignificant
BURDWAN,Tetra Pak Milk,Time Series Formed is very insignificant
BURDWAN,Toilet Cleaners,Time Series Formed is very insignificant
BURDWAN,Toor (Arhar) Dal,Time Series Formed is very insignificant
BURDWAN,Toothbrushes,Time Series Formed is very insignificant
BURDWAN,Toothpastes,Time Series Formed is very insignificant
BURDWAN,Torch & Emergency Light,Time Series Formed is very insignificant
BURDWAN,Urad Dal,Time Series Formed is very insignificant
BURDWAN,Vanaspati,Time Series Formed is very insignificant
BURDWAN,Vermicelli,Time Series Formed is very insignificant
BURDWAN,Wheat Atta,Time Series Formed is very insignificant
BURDWAN,Whole Spices,Time Series Formed is very insignificant
BURDWAN,Wipes,Time Series Formed is very insignificant
CHOMU,Adult Health Drinks,Time Series Formed is very insignificant
CHOMU,Agarbatti & Dhoop,Time Series Formed is very insignificant
CHOMU,Almonds (Badam),Time Series Formed is very insignificant
CHOMU,Baby Food & Cereals,Time Series Formed is very insignificant
CHOMU,Baked Snacks,Time Series Formed is very insignificant
CHOMU,Basmati Rice,Time Series Formed is very insignificant
CHOMU,Bathing Soaps,Time Series Formed is very insignificant
CHOMU,Battery,Time Series Formed is very insignificant
CHOMU,Besan & Sattu,Time Series Formed is very insignificant
CHOMU,Bleaches & Blues,Time Series Formed is very insignificant
CHOMU,Blended Masalas,Time Series Formed is very insignificant
CHOMU,"Broom, Mop & Wiper",Time Series Formed is very insignificant
CHOMU,Bulbs & LED,Time Series Formed is very insignificant
CHOMU,Buttermilk,Time Series Formed is very insignificant
