FC City,L3,Error_Description
GADAG-BETIGERI,Milk Powders,Time Series Formed is very insignificant
GADAG-BETIGERI,Milk Shakes,Time Series Formed is very insignificant
GADAG-BETIGERI,Mints & Gums,Time Series Formed is very insignificant
GADAG-BETIGERI,Mosquito Repellents,Time Series Formed is very insignificant
GADAG-BETIGERI,Noodles,Time Series Formed is very insignificant
GADAG-BETIGERI,Oats & Porridge,Time Series Formed is very insignificant
GADAG-BETIGERI,"Oils, Creams & Lotions",Time Series Formed is very insignificant
GADAG-BETIGERI,Orange Juices,Time Series Formed is very insignificant
GADAG-BETIGERI,Other Biscuits & Cookies,Time Series Formed is very insignificant
GADAG-BETIGERI,Other Kitchen Essentials,Time Series Formed is very insignificant
GADAG-BETIGERI,Other Pulses,Time Series Formed is very insignificant
GADAG-BETIGERI,Pain Relief,Time Series Formed is very insignificant
GADAG-BETIGERI,Palm Oil,Time Series Formed is very insignificant
GADAG-BETIGERI,Pista,Time Series Formed is very insignificant
GADAG-BETIGERI,Powdered Spices,Time Series Formed is very insignificant
GADAG-BETIGERI,Pure Cow Ghee,Time Series Formed is very insignificant
GADAG-BETIGERI,Ragi Flour,Time Series Formed is very insignificant
GADAG-BETIGERI,Raisins,Time Series Formed is very insignificant
GADAG-BETIGERI,Rice Bran Oil,Time Series Formed is very insignificant
GADAG-BETIGERI,Roast & Ground Coffee,Time Series Formed is very insignificant
GADAG-BETIGERI,Rusk & Khari,Time Series Formed is very insignificant
GADAG-BETIGERI,Sabudana,Time Series Formed is very insignificant
GADAG-BETIGERI,Salt,Time Series Formed is very insignificant
GADAG-BETIGERI,Sanitary Pads,Time Series Formed is very insignificant
GADAG-BETIGERI,Shampoos,Time Series Formed is very insignificant
GADAG-BETIGERI,Soda,Time Series Formed is very insignificant
GADAG-BETIGERI,Sona Masoori Rice,Time Series Formed is very insignificant
GADAG-BETIGERI,Sooji & Rava,Time Series Formed is very insignificant
GADAG-BETIGERI,Soups,Time Series Formed is very insignificant
GADAG-BETIGERI,Soya Chunks,Time Series Formed is very insignificant
GADAG-BETIGERI,Stain Removers,Time Series Formed is very insignificant
GADAG-BETIGERI,Sugar,Time Series Formed is very insignificant
GADAG-BETIGERI,Sunflower Oil,Time Series Formed is very insignificant
GADAG-BETIGERI,Talcum Powders,Time Series Formed is very insignificant
GADAG-BETIGERI,Tetra Pak Milk,Time Series Formed is very insignificant
GADAG-BETIGERI,Toilet Cleaners,Time Series Formed is very insignificant
GADAG-BETIGERI,Toor (Arhar) Dal,Time Series Formed is very insignificant
GADAG-BETIGERI,Tooth Powders,Time Series Formed is very insignificant
GADAG-BETIGERI,Toothbrushes,Time Series Formed is very insignificant
GADAG-BETIGERI,Toothpastes,Time Series Formed is very insignificant
GADAG-BETIGERI,Torch & Emergency Light,Time Series Formed is very insignificant
GADAG-BETIGERI,Urad Dal,Time Series Formed is very insignificant
GADAG-BETIGERI,Wheat Atta,Time Series Formed is very insignificant
GADAG-BETIGERI,Whole Spices,Time Series Formed is very insignificant
GULBARGA,First Aids,Time Series Formed is very insignificant
GULBARGA,Pain Relief,Time Series Formed is very insignificant
GUWAHATI,Digestive Care,Time Series Formed is very insignificant
GUWAHATI,First Aids,Time Series Formed is very insignificant
HYDERABAD,Coconut,Time Series Formed is very insignificant
HYDERABAD,Onion,Time Series Formed is very insignificant
HYDERABAD,Potato,Time Series Formed is very insignificant
INDORE,Cold & Cough Remedies,Time Series Formed is very insignificant
INDORE,First Aids,Time Series Formed is very insignificant
INDORE,Pain Relief,Time Series Formed is very insignificant
JALANDHAR,90 Days Pouch  Milk,Time Series Formed is very insignificant
JALANDHAR,Agarbatti & Dhoop,Time Series Formed is very insignificant
JALANDHAR,Air Fresheners,Time Series Formed is very insignificant
JALANDHAR,Almonds (Badam),Time Series Formed is very insignificant
JALANDHAR,Apple Juices,Time Series Formed is very insignificant
JALANDHAR,Basmati Rice,Time Series Formed is very insignificant
JALANDHAR,Bathing Soaps,Time Series Formed is very insignificant
JALANDHAR,Battery,Time Series Formed is very insignificant
JALANDHAR,Besan & Sattu,Time Series Formed is very insignificant
JALANDHAR,Bleaches & Blues,Time Series Formed is very insignificant
JALANDHAR,Blended Masalas,Time Series Formed is very insignificant
JALANDHAR,Body Lotions,Time Series Formed is very insignificant
JALANDHAR,"Broom, Mop & Wiper",Time Series Formed is very insignificant
JALANDHAR,"Buckets, Mugs & Tubs",Time Series Formed is very insignificant
JALANDHAR,Bulbs & LED,Time Series Formed is very insignificant
JALANDHAR,Buttermilk,Time Series Formed is very insignificant
JALANDHAR,Candies & Toffees,Time Series Formed is very insignificant
JALANDHAR,Cashew Nuts,Time Series Formed is very insignificant
JALANDHAR,Children Health Drinks,Time Series Formed is very insignificant
JALANDHAR,Chips,Time Series Formed is very insignificant
JALANDHAR,Chocolates,Time Series Formed is very insignificant
JALANDHAR,Chocos & Flakes,Time Series Formed is very insignificant
JALANDHAR,Chutney,Time Series Formed is very insignificant
JALANDHAR,Cold & Cough Remedies,Time Series Formed is very insignificant
JALANDHAR,Cold Drinks,Time Series Formed is very insignificant
JALANDHAR,Condensed Milk,Time Series Formed is very insignificant
JALANDHAR,Cooking Paste & Puris,Time Series Formed is very insignificant
JALANDHAR,Crafts Glues,Time Series Formed is very insignificant
JALANDHAR,Cream Biscuits & Wafers,Time Series Formed is very insignificant
JALANDHAR,Dates,Time Series Formed is very insignificant
JALANDHAR,Deodorants,Time Series Formed is very insignificant
JALANDHAR,Detergent Bars,Time Series Formed is very insignificant
JALANDHAR,Detergent Liquids,Time Series Formed is very insignificant
JALANDHAR,Detergent Powders,Time Series Formed is very insignificant
JALANDHAR,Diapers & Pants,Time Series Formed is very insignificant
JALANDHAR,Dishwash Bars,Time Series Formed is very insignificant
JALANDHAR,Dishwash Liquids,Time Series Formed is very insignificant
JALANDHAR,Dishwash Powders,Time Series Formed is very insignificant
JALANDHAR,Dishwash Scrub Pads,Time Series Formed is very insignificant
JALANDHAR,Dry Fruit Gift Packs,Time Series Formed is very insignificant
JALANDHAR,Fabric Softeners,Time Series Formed is very insignificant
JALANDHAR,Face Creams & Moisturisers,Time Series Formed is very insignificant
JALANDHAR,Face Wash,Time Series Formed is very insignificant
JALANDHAR,Flavoured Milk,Time Series Formed is very insignificant
JALANDHAR,Floor Cleaners,Time Series Formed is very insignificant
JALANDHAR,Glass Cleaners,Time Series Formed is very insignificant
JALANDHAR,Glucose & Milk Biscuits,Time Series Formed is very insignificant
JALANDHAR,Green Tea,Time Series Formed is very insignificant
JALANDHAR,Hair Colors & Dyes,Time Series Formed is very insignificant
JALANDHAR,Hair Oils,Time Series Formed is very insignificant
JALANDHAR,Hair Removal,Time Series Formed is very insignificant
JALANDHAR,Hand Wash,Time Series Formed is very insignificant
JALANDHAR,Honey,Time Series Formed is very insignificant
JALANDHAR,Indian Mithai,Time Series Formed is very insignificant
JALANDHAR,Instant Coffee,Time Series Formed is very insignificant
JALANDHAR,Jams & Preserves,Time Series Formed is very insignificant
JALANDHAR,Ketchups,Time Series Formed is very insignificant
JALANDHAR,Lassi,Time Series Formed is very insignificant
JALANDHAR,Leaf Tea,Time Series Formed is very insignificant
JALANDHAR,Loose Salt & Sugar,Time Series Formed is very insignificant
JALANDHAR,Maida,Time Series Formed is very insignificant
JALANDHAR,Mango Drinks,Time Series Formed is very insignificant
JALANDHAR,Milk Creams,Time Series Formed is very insignificant
JALANDHAR,Milk Powders,Time Series Formed is very insignificant
JALANDHAR,Milk Shakes,Time Series Formed is very insignificant
JALANDHAR,Mints & Gums,Time Series Formed is very insignificant
JALANDHAR,Mix Fruit Juices,Time Series Formed is very insignificant
JALANDHAR,Moong Dal,Time Series Formed is very insignificant
JALANDHAR,Mosquito Repellents,Time Series Formed is very insignificant
JALANDHAR,Muesli,Time Series Formed is very insignificant
JALANDHAR,Mustard Oil,Time Series Formed is very insignificant
JALANDHAR,Namkeen,Time Series Formed is very insignificant
JALANDHAR,Noodles,Time Series Formed is very insignificant
JALANDHAR,Oats & Porridge,Time Series Formed is very insignificant
JALANDHAR,"Oils, Creams & Lotions",Time Series Formed is very insignificant
JALANDHAR,Olive Oil,Time Series Formed is very insignificant
JALANDHAR,Orange Juices,Time Series Formed is very insignificant
JALANDHAR,Other Atta,Time Series Formed is very insignificant
JALANDHAR,Other Biscuits & Cookies,Time Series Formed is very insignificant
JALANDHAR,Other Dry Fruits & Nuts,Time Series Formed is very insignificant
JALANDHAR,Other Juices,Time Series Formed is very insignificant
JALANDHAR,Other Kitchen Essentials,Time Series Formed is very insignificant
JALANDHAR,Peanuts,Time Series Formed is very insignificant
JALANDHAR,"Pencils, Erasers & Sharpeners",Time Series Formed is very insignificant
JALANDHAR,Pista,Time Series Formed is very insignificant
JALANDHAR,Poha,Time Series Formed is very insignificant
JALANDHAR,Powdered Spices,Time Series Formed is very insignificant
JALANDHAR,Powders,Time Series Formed is very insignificant
JALANDHAR,Pure Cow Ghee,Time Series Formed is very insignificant
JALANDHAR,Pure Desi Ghee,Time Series Formed is very insignificant
JALANDHAR,Raisins,Time Series Formed is very insignificant
JALANDHAR,Rajma,Time Series Formed is very insignificant
JALANDHAR,Ready Mixes,Time Series Formed is very insignificant
JALANDHAR,Rice Bran Oil,Time Series Formed is very insignificant
JALANDHAR,Rusk & Khari,Time Series Formed is very insignificant
JALANDHAR,Salt,Time Series Formed is very insignificant
JALANDHAR,Sanitary Pads,Time Series Formed is very insignificant
JALANDHAR,Shampoos,Time Series Formed is very insignificant
JALANDHAR,Soda,Time Series Formed is very insignificant
JALANDHAR,Sooji & Rava,Time Series Formed is very insignificant
JALANDHAR,Soups,Time Series Formed is very insignificant
JALANDHAR,Soya Chunks,Time Series Formed is very insignificant
JALANDHAR,Soya Oil,Time Series Formed is very insignificant
JALANDHAR,Squashes & Syrups,Time Series Formed is very insignificant
JALANDHAR,Stain Removers,Time Series Formed is very insignificant
JALANDHAR,Sugar,Time Series Formed is very insignificant
JALANDHAR,Talcum Powders,Time Series Formed is very insignificant
JALANDHAR,Tetra Pak Milk,Time Series Formed is very insignificant
JALANDHAR,Toilet Cleaners,Time Series Formed is very insignificant
JALANDHAR,Toothbrushes,Time Series Formed is very insignificant
JALANDHAR,Toothpastes,Time Series Formed is very insignificant
JALANDHAR,Vanaspati,Time Series Formed is very insignificant
JALANDHAR,Walnuts,Time Series Formed is very insignificant
JALANDHAR,Wheat Atta,Time Series Formed is very insignificant
JALANDHAR,Whole Spices,Time Series Formed is very insignificant
JALANDHAR,Wipes,Time Series Formed is very insignificant
JHAJJAR,Cold & Cough Remedies,Time Series Formed is very insignificant
JHAJJAR,Digestive Care,Time Series Formed is very insignificant
JHAJJAR,First Aids,Time Series Formed is very insignificant
JHAJJAR,Pain Relief,Time Series Formed is very insignificant
JORHAT,Children Health Drinks,Time Series Formed is very insignificant
JORHAT,Chips,Time Series Formed is very insignificant
JORHAT,Chocolates,Time Series Formed is very insignificant
JORHAT,Dishwash Bars,Time Series Formed is very insignificant
JORHAT,Glucose & Milk Biscuits,Time Series Formed is very insignificant
JORHAT,Leaf Tea,Time Series Formed is very insignificant
JORHAT,Noodles,Time Series Formed is very insignificant
JORHAT,Other Biscuits & Cookies,Time Series Formed is very insignificant
JORHAT,"Pencils, Erasers & Sharpeners",Time Series Formed is very insignificant
JORHAT,Sooji & Rava,Time Series Formed is very insignificant
JORHAT,Sugar,Time Series Formed is very insignificant
JORHAT,Wheat Atta,Time Series Formed is very insignificant
KAIKALUR,90 Days Pouch  Milk,Time Series Formed is very insignificant
KAIKALUR,Adult Health Drinks,Time Series Formed is very insignificant
KAIKALUR,Agarbatti & Dhoop,Time Series Formed is very insignificant
KAIKALUR,Air Fresheners,Time Series Formed is very insignificant
KAIKALUR,Almonds (Badam),Time Series Formed is very insignificant
KAIKALUR,Baby Food & Cereals,Time Series Formed is very insignificant
KAIKALUR,Basmati Rice,Time Series Formed is very insignificant
KAIKALUR,Bathing Soaps,Time Series Formed is very insignificant
KAIKALUR,Battery,Time Series Formed is very insignificant
KAIKALUR,Besan & Sattu,Time Series Formed is very insignificant
KAIKALUR,Bleaches & Blues,Time Series Formed is very insignificant
KAIKALUR,Blended Masalas,Time Series Formed is very insignificant
KAIKALUR,Body Lotions,Time Series Formed is very insignificant
KAIKALUR,Broken Wheat (Daliya),Time Series Formed is very insignificant
KAIKALUR,"Broom, Mop & Wiper",Time Series Formed is very insignificant
KAIKALUR,Bulbs & LED,Time Series Formed is very insignificant
KAIKALUR,Buttermilk,Time Series Formed is very insignificant
KAIKALUR,Camphor,Time Series Formed is very insignificant
KAIKALUR,Candies & Toffees,Time Series Formed is very insignificant
KAIKALUR,Cashew Nuts,Time Series Formed is very insignificant
KAIKALUR,Chana Dal,Time Series Formed is very insignificant
KAIKALUR,Children Health Drinks,Time Series Formed is very insignificant
KAIKALUR,Chips,Time Series Formed is very insignificant
KAIKALUR,Chocolate Gift Packs,Time Series Formed is very insignificant
KAIKALUR,Chocolates,Time Series Formed is very insignificant
KAIKALUR,Chocos & Flakes,Time Series Formed is very insignificant
KAIKALUR,Chutney,Time Series Formed is very insignificant
KAIKALUR,Cleaning Brush & Utilities,Time Series Formed is very insignificant
KAIKALUR,Cold Drinks,Time Series Formed is very insignificant
KAIKALUR,Crafts Glues,Time Series Formed is very insignificant
KAIKALUR,Cream Biscuits & Wafers,Time Series Formed is very insignificant
KAIKALUR,Detergent Bars,Time Series Formed is very insignificant
KAIKALUR,Detergent Liquids,Time Series Formed is very insignificant
KAIKALUR,Detergent Powders,Time Series Formed is very insignificant
KAIKALUR,Diapers & Pants,Time Series Formed is very insignificant
KAIKALUR,Digestive Care,Time Series Formed is very insignificant
KAIKALUR,Dishwash Bars,Time Series Formed is very insignificant
KAIKALUR,Dishwash Liquids,Time Series Formed is very insignificant
KAIKALUR,Dishwash Powders,Time Series Formed is very insignificant
KAIKALUR,Dishwash Scrub Pads,Time Series Formed is very insignificant
KAIKALUR,Dry Fruit Gift Packs,Time Series Formed is very insignificant
KAIKALUR,Dust Tea,Time Series Formed is very insignificant
KAIKALUR,Energy Drinks,Time Series Formed is very insignificant
KAIKALUR,Fabric Softeners,Time Series Formed is very insignificant
KAIKALUR,Face Cleansers & Toners,Time Series Formed is very insignificant
KAIKALUR,Face Creams & Moisturisers,Time Series Formed is very insignificant
KAIKALUR,Face Wash,Time Series Formed is very insignificant
KAIKALUR,First Aids,Time Series Formed is very insignificant
KAIKALUR,Flavoured Milk,Time Series Formed is very insignificant
KAIKALUR,Floor Cleaners,Time Series Formed is very insignificant
KAIKALUR,Glass Cleaners,Time Series Formed is very insignificant
KAIKALUR,Glucose & Milk Biscuits,Time Series Formed is very insignificant
KAIKALUR,Green Tea,Time Series Formed is very insignificant
KAIKALUR,Groundnut Oil,Time Series Formed is very insignificant
KAIKALUR,Hair Colors & Dyes,Time Series Formed is very insignificant
KAIKALUR,Hair Oils,Time Series Formed is very insignificant
KAIKALUR,Hair Removal,Time Series Formed is very insignificant
KAIKALUR,Hand Wash,Time Series Formed is very insignificant
KAIKALUR,Honey,Time Series Formed is very insignificant
KAIKALUR,Indian Mithai,Time Series Formed is very insignificant
KAIKALUR,Insect Control,Time Series Formed is very insignificant
KAIKALUR,Instant Coffee,Time Series Formed is very insignificant
KAIKALUR,Jaggery,Time Series Formed is very insignificant
KAIKALUR,Jams & Preserves,Time Series Formed is very insignificant
KAIKALUR,Ketchups,Time Series Formed is very insignificant
KAIKALUR,Kolam Rice,Time Series Formed is very insignificant
KAIKALUR,Lamp & Lamp Oil,Time Series Formed is very insignificant
KAIKALUR,Lassi,Time Series Formed is very insignificant
KAIKALUR,Leaf Tea,Time Series Formed is very insignificant
KAIKALUR,Maida,Time Series Formed is very insignificant
KAIKALUR,Mango Drinks,Time Series Formed is very insignificant
KAIKALUR,Marie & Digestive Biscuits,Time Series Formed is very insignificant
KAIKALUR,Masoor Dal,Time Series Formed is very insignificant
KAIKALUR,Milk Powders,Time Series Formed is very insignificant
KAIKALUR,Milk Shakes,Time Series Formed is very insignificant
KAIKALUR,Mints & Gums,Time Series Formed is very insignificant
KAIKALUR,Mix Fruit Juices,Time Series Formed is very insignificant
KAIKALUR,Moong Dal,Time Series Formed is very insignificant
KAIKALUR,Mosquito Repellents,Time Series Formed is very insignificant
KAIKALUR,Mustard Oil,Time Series Formed is very insignificant
KAIKALUR,Namkeen,Time Series Formed is very insignificant
KAIKALUR,Noodles,Time Series Formed is very insignificant
KAIKALUR,Oats & Porridge,Time Series Formed is very insignificant
KAIKALUR,Other Biscuits & Cookies,Time Series Formed is very insignificant
KAIKALUR,Other Flavoured Drinks,Time Series Formed is very insignificant
KAIKALUR,Other Kitchen Essentials,Time Series Formed is very insignificant
KAIKALUR,Other Pooja Accessories,Time Series Formed is very insignificant
KAIKALUR,Packaged Water,Time Series Formed is very insignificant
KAIKALUR,Pain Relief,Time Series Formed is very insignificant
KAIKALUR,Palm Oil,Time Series Formed is very insignificant
KAIKALUR,Peanuts,Time Series Formed is very insignificant
KAIKALUR,Pickles,Time Series Formed is very insignificant
KAIKALUR,Pista,Time Series Formed is very insignificant
KAIKALUR,Powdered Spices,Time Series Formed is very insignificant
KAIKALUR,Powders,Time Series Formed is very insignificant
KAIKALUR,Printing Paper,Time Series Formed is very insignificant
KAIKALUR,Pure Cow Ghee,Time Series Formed is very insignificant
KAIKALUR,Pure Desi Ghee,Time Series Formed is very insignificant
KAIKALUR,Raisins,Time Series Formed is very insignificant
KAIKALUR,Razors & Blades,Time Series Formed is very insignificant
KAIKALUR,Ready Mixes,Time Series Formed is very insignificant
KAIKALUR,Rice Bran Oil,Time Series Formed is very insignificant
KAIKALUR,Roast & Ground Coffee,Time Series Formed is very insignificant
KAIKALUR,Rusk & Khari,Time Series Formed is very insignificant
KAIKALUR,Sabudana,Time Series Formed is very insignificant
KAIKALUR,Salt,Time Series Formed is very insignificant
KAIKALUR,Sanitary Pads,Time Series Formed is very insignificant
KAIKALUR,Shampoos,Time Series Formed is very insignificant
KAIKALUR,Shaving Creams & Foams,Time Series Formed is very insignificant
KAIKALUR,Soda,Time Series Formed is very insignificant
KAIKALUR,Sona Masoori Rice,Time Series Formed is very insignificant
KAIKALUR,Sooji & Rava,Time Series Formed is very insignificant
KAIKALUR,Soya Chunks,Time Series Formed is very insignificant
KAIKALUR,Stain Removers,Time Series Formed is very insignificant
KAIKALUR,Sugar,Time Series Formed is very insignificant
KAIKALUR,Sunflower Oil,Time Series Formed is very insignificant
KAIKALUR,Talcum Powders,Time Series Formed is very insignificant
KAIKALUR,Toilet Cleaners,Time Series Formed is very insignificant
KAIKALUR,Toor (Arhar) Dal,Time Series Formed is very insignificant
KAIKALUR,Toothbrushes,Time Series Formed is very insignificant
KAIKALUR,Toothpastes,Time Series Formed is very insignificant
KAIKALUR,Torch & Emergency Light,Time Series Formed is very insignificant
KAIKALUR,Urad Dal,Time Series Formed is very insignificant
KAIKALUR,Wheat Atta,Time Series Formed is very insignificant
KAIKALUR,Whole Spices,Time Series Formed is very insignificant
KAIKALUR,Wipes,Time Series Formed is very insignificant
KAKINADA,90 Days Pouch  Milk,Time Series Formed is very insignificant
KAKINADA,Agarbatti & Dhoop,Time Series Formed is very insignificant
KAKINADA,Air Fresheners,Time Series Formed is very insignificant
KAKINADA,Almonds (Badam),Time Series Formed is very insignificant
KAKINADA,Basmati Rice,Time Series Formed is very insignificant
KAKINADA,Bathing Soaps,Time Series Formed is very insignificant
KAKINADA,Battery,Time Series Formed is very insignificant
KAKINADA,Bleaches & Blues,Time Series Formed is very insignificant
KAKINADA,Blended Masalas,Time Series Formed is very insignificant
KAKINADA,"Broom, Mop & Wiper",Time Series Formed is very insignificant
KAKINADA,Bulbs & LED,Time Series Formed is very insignificant
KAKINADA,Buttermilk,Time Series Formed is very insignificant
KAKINADA,Camphor,Time Series Formed is very insignificant
KAKINADA,Candies & Toffees,Time Series Formed is very insignificant
KAKINADA,Cashew Nuts,Time Series Formed is very insignificant
KAKINADA,Chana Dal,Time Series Formed is very insignificant
KAKINADA,Children Health Drinks,Time Series Formed is very insignificant
KAKINADA,Chips,Time Series Formed is very insignificant
KAKINADA,Chocolate Gift Packs,Time Series Formed is very insignificant
KAKINADA,Chocolates,Time Series Formed is very insignificant
KAKINADA,Chocos & Flakes,Time Series Formed is very insignificant
KAKINADA,Cleaning Brush & Utilities,Time Series Formed is very insignificant
KAKINADA,Cold Drinks,Time Series Formed is very insignificant
KAKINADA,Condensed Milk,Time Series Formed is very insignificant
KAKINADA,Crafts Glues,Time Series Formed is very insignificant
KAKINADA,Cream Biscuits & Wafers,Time Series Formed is very insignificant
KAKINADA,Dates,Time Series Formed is very insignificant
KAKINADA,Detergent Bars,Time Series Formed is very insignificant
KAKINADA,Detergent Liquids,Time Series Formed is very insignificant
KAKINADA,Detergent Powders,Time Series Formed is very insignificant
KAKINADA,Diapers & Pants,Time Series Formed is very insignificant
KAKINADA,Dishwash Bars,Time Series Formed is very insignificant
KAKINADA,Dishwash Liquids,Time Series Formed is very insignificant
KAKINADA,Dishwash Powders,Time Series Formed is very insignificant
KAKINADA,Dust Tea,Time Series Formed is very insignificant
KAKINADA,Fabric Softeners,Time Series Formed is very insignificant
KAKINADA,Face Creams & Moisturisers,Time Series Formed is very insignificant
KAKINADA,Face Wash,Time Series Formed is very insignificant
KAKINADA,Floor Cleaners,Time Series Formed is very insignificant
KAKINADA,Glass Cleaners,Time Series Formed is very insignificant
KAKINADA,Glucose & Milk Biscuits,Time Series Formed is very insignificant
KAKINADA,Green Tea,Time Series Formed is very insignificant
KAKINADA,Groundnut Oil,Time Series Formed is very insignificant
KAKINADA,Hair Colors & Dyes,Time Series Formed is very insignificant
KAKINADA,Hair Oils,Time Series Formed is very insignificant
KAKINADA,Hair Removal,Time Series Formed is very insignificant
KAKINADA,Hand Wash,Time Series Formed is very insignificant
KAKINADA,Honey,Time Series Formed is very insignificant
KAKINADA,Idli & Dosa Rice,Time Series Formed is very insignificant
KAKINADA,Insect Control,Time Series Formed is very insignificant
KAKINADA,Instant Coffee,Time Series Formed is very insignificant
KAKINADA,Jaggery,Time Series Formed is very insignificant
KAKINADA,Jams & Preserves,Time Series Formed is very insignificant
KAKINADA,Ketchups,Time Series Formed is very insignificant
KAKINADA,Lassi,Time Series Formed is very insignificant
KAKINADA,Leaf Tea,Time Series Formed is very insignificant
KAKINADA,Maida,Time Series Formed is very insignificant
KAKINADA,Mango Drinks,Time Series Formed is very insignificant
KAKINADA,Marie & Digestive Biscuits,Time Series Formed is very insignificant
KAKINADA,Masoor Dal,Time Series Formed is very insignificant
KAKINADA,Milk Creams,Time Series Formed is very insignificant
KAKINADA,Milk Powders,Time Series Formed is very insignificant
KAKINADA,Milk Shakes,Time Series Formed is very insignificant
KAKINADA,Mints & Gums,Time Series Formed is very insignificant
KAKINADA,Moong Dal,Time Series Formed is very insignificant
KAKINADA,Mosquito Repellents,Time Series Formed is very insignificant
KAKINADA,Muesli,Time Series Formed is very insignificant
KAKINADA,Mustard Oil,Time Series Formed is very insignificant
KAKINADA,Noodles,Time Series Formed is very insignificant
KAKINADA,Oats & Porridge,Time Series Formed is very insignificant
KAKINADA,Other Biscuits & Cookies,Time Series Formed is very insignificant
KAKINADA,Other Flavoured Drinks,Time Series Formed is very insignificant
KAKINADA,Packaged Water,Time Series Formed is very insignificant
KAKINADA,Pain Relief,Time Series Formed is very insignificant
KAKINADA,Palm Oil,Time Series Formed is very insignificant
KAKINADA,Pista,Time Series Formed is very insignificant
KAKINADA,Powdered Spices,Time Series Formed is very insignificant
KAKINADA,Powders,Time Series Formed is very insignificant
KAKINADA,Pure Cow Ghee,Time Series Formed is very insignificant
KAKINADA,Pure Desi Ghee,Time Series Formed is very insignificant
KAKINADA,Raisins,Time Series Formed is very insignificant
KAKINADA,Razors & Blades,Time Series Formed is very insignificant
KAKINADA,Rice Bran Oil,Time Series Formed is very insignificant
KAKINADA,Roast & Ground Coffee,Time Series Formed is very insignificant
KAKINADA,Rusk & Khari,Time Series Formed is very insignificant
KAKINADA,Sabudana,Time Series Formed is very insignificant
KAKINADA,Salt,Time Series Formed is very insignificant
KAKINADA,Sanitary Pads,Time Series Formed is very insignificant
KAKINADA,Sanitizers,Time Series Formed is very insignificant
KAKINADA,Shampoos,Time Series Formed is very insignificant
KAKINADA,Soda,Time Series Formed is very insignificant
KAKINADA,Sona Masoori Rice,Time Series Formed is very insignificant
KAKINADA,Soups,Time Series Formed is very insignificant
KAKINADA,Soya Chunks,Time Series Formed is very insignificant
KAKINADA,Stain Removers,Time Series Formed is very insignificant
KAKINADA,Sugar,Time Series Formed is very insignificant
KAKINADA,Sunflower Oil,Time Series Formed is very insignificant
KAKINADA,Talcum Powders,Time Series Formed is very insignificant
KAKINADA,Toilet Cleaners,Time Series Formed is very insignificant
KAKINADA,Toor (Arhar) Dal,Time Series Formed is very insignificant
KAKINADA,Toothbrushes,Time Series Formed is very insignificant
KAKINADA,Toothpastes,Time Series Formed is very insignificant
KAKINADA,Torch & Emergency Light,Time Series Formed is very insignificant
KAKINADA,Urad Dal,Time Series Formed is very insignificant
KAKINADA,Wheat Atta,Time Series Formed is very insignificant
KAKINADA,Whole Spices,Time Series Formed is very insignificant
KATNI,Agarbatti & Dhoop,Time Series Formed is very insignificant
KATNI,Air Fresheners,Time Series Formed is very insignificant
KATNI,Almonds (Badam),Time Series Formed is very insignificant
KATNI,Baby Food & Cereals,Time Series Formed is very insignificant
KATNI,Basmati Rice,Time Series Formed is very insignificant
KATNI,Bathing Soaps,Time Series Formed is very insignificant
KATNI,Besan & Sattu,Time Series Formed is very insignificant
KATNI,Bleaches & Blues,Time Series Formed is very insignificant
KATNI,Blended Masalas,Time Series Formed is very insignificant
KATNI,Blended Oils,Time Series Formed is very insignificant
KATNI,"Broom, Mop & Wiper",Time Series Formed is very insignificant
KATNI,Buttermilk,Time Series Formed is very insignificant
KATNI,"Cakes, Muffins & Rolls",Time Series Formed is very insignificant
KATNI,Cashew Nuts,Time Series Formed is very insignificant
KATNI,Children Health Drinks,Time Series Formed is very insignificant
KATNI,Chips,Time Series Formed is very insignificant
KATNI,Chocolates,Time Series Formed is very insignificant
KATNI,Chocos & Flakes,Time Series Formed is very insignificant
KATNI,Chutney,Time Series Formed is very insignificant
KATNI,Cleaning Brush & Utilities,Time Series Formed is very insignificant
KATNI,Cold Drinks,Time Series Formed is very insignificant
KATNI,Condensed Milk,Time Series Formed is very insignificant
KATNI,Crafts Glues,Time Series Formed is very insignificant
KATNI,Cream Biscuits & Wafers,Time Series Formed is very insignificant
KATNI,Dates,Time Series Formed is very insignificant
KATNI,Detergent Bars,Time Series Formed is very insignificant
KATNI,Detergent Liquids,Time Series Formed is very insignificant
KATNI,Detergent Powders,Time Series Formed is very insignificant
KATNI,Diapers & Pants,Time Series Formed is very insignificant
KATNI,Dishwash Bars,Time Series Formed is very insignificant
KATNI,Dishwash Liquids,Time Series Formed is very insignificant
KATNI,Dishwash Powders,Time Series Formed is very insignificant
KATNI,Dishwash Scrub Pads,Time Series Formed is very insignificant
KATNI,Energy Drinks,Time Series Formed is very insignificant
KATNI,Face Creams & Moisturisers,Time Series Formed is very insignificant
KATNI,Face Wash,Time Series Formed is very insignificant
KATNI,Floor Cleaners,Time Series Formed is very insignificant
KATNI,Foot Care,Time Series Formed is very insignificant
KATNI,Glass Cleaners,Time Series Formed is very insignificant
KATNI,Glucose & Milk Biscuits,Time Series Formed is very insignificant
KATNI,Green Tea,Time Series Formed is very insignificant
KATNI,Hair Colors & Dyes,Time Series Formed is very insignificant
KATNI,Hair Oils,Time Series Formed is very insignificant
KATNI,Hand Wash,Time Series Formed is very insignificant
KATNI,Honey,Time Series Formed is very insignificant
