Date,City,L3,Net_Sales,Forecast_Level
2021-10-19,FARIDABAD,"Buckets, Mugs & Tubs",,
2021-10-19,FARIDABAD,Soda,,
2021-10-19,FARIDABAD,Chutney,,
2021-10-19,FARIDABAD,Rice Bran Oil,,
2021-10-19,FARIDABAD,Moong Dal,,
2021-10-19,FARIDABAD,Toor (Arhar) Dal,,
2021-10-19,FARIDABAD,Cleaning Brush & Utilities,,
2021-10-19,FARIDABAD,Dry Fruit Gift Packs,,
2021-10-19,FARIDABAD,Diapers & Pants,,
2021-10-19,FARIDABAD,Whole Spices,,
2021-10-19,FARIDABAD,Poha,,
2021-10-19,FARIDABAD,Almonds (Badam),,
2021-10-19,FARIDABAD,Raisins,,
2021-10-19,FARIDABAD,Walnuts,,
2021-10-19,FARIDABAD,Detergent Liquids,,
2021-10-19,FARIDABAD,Camphor,,
2021-10-19,FARIDABAD,Stain Removers,,
2021-10-19,FARIDABAD,Maida,,
2021-10-19,FARIDABAD,Sooji & Rava,,
2021-10-19,FARIDABAD,Bulbs & LED,,
2021-10-19,FARIDABAD,Hair Removal,,
2021-10-19,FARIDABAD,Sona Masoori Rice,,
2021-10-19,FARIDABAD,Razors & Blades,,
2021-10-19,FARIDABAD,Namkeen,,
2021-10-19,FARIDABAD,Cashew Nuts,,
2021-10-19,FARIDABAD,Indian Mithai,,
2021-10-19,FARIDABAD,Groundnut Oil,,
2021-10-19,FARIDABAD,Idli & Dosa Rice,,
2021-10-19,FARIDABAD,Other Kitchen Essentials,,
2021-10-19,FARIDABAD,Pista,,
2021-10-19,FARIDABAD,First Aids,,
2021-10-19,FARIDABAD,Other Pooja Accessories,,
2021-10-19,FARIDABAD,Masoor Dal,,
2021-10-19,FARIDABAD,Urad Dal,,
2021-10-19,FARIDABAD,Peanuts,,
2021-10-19,FARIDABAD,Chana Dal,,
2021-10-19,FARIDABAD,Torch & Emergency Light,,
2021-10-19,FARIDABAD,Kolam Rice,,
2021-10-19,FARIDABAD,Jaggery,,
2021-10-19,FARIDABAD,Vanaspati,,
2021-10-19,FARIDABAD,Blended Oils,,
2021-10-19,FARIDABAD,Papad & Fryums,,
2021-10-19,FARIDABAD,Mustard Oil,,
2021-10-19,FARIDABAD,Orange Juices,,
2021-10-19,FARIDABAD,Tetra Pak Milk,,
2021-10-19,FARIDABAD,Other Juices,,
2021-10-19,FARIDABAD,Mix Fruit Juices,,
2021-10-19,FARIDABAD,Spreads,,
2021-10-19,FARIDABAD,Powdered Drink Mixes,,
2021-10-19,FARIDABAD,Face Cleansers & Toners,,
2021-10-19,FARIDABAD,Energy Drinks,,
2021-10-19,FARIDABAD,Baby Food & Cereals,,
2021-10-19,FARIDABAD,Soya Oil,,
2021-10-19,FARIDABAD,Other Dry Fruits & Nuts,,
2021-10-19,FARIDABAD,Olive Oil,,
2021-10-19,FARIDABAD,Vermicelli,,
2021-10-19,FARIDABAD,Infant Formulae,,
2021-10-19,FARIDABAD,Cold & Cough Remedies,,
2021-10-19,FARIDABAD,Protein Powders,,
2021-10-19,FARIDABAD,Other Oils,,
2021-10-19,FARIDABAD,Squashes & Syrups,,
2021-10-19,FARIDABAD,Indian Savouries,,
2021-10-19,FARIDABAD,"Pencils, Erasers & Sharpeners",,
2021-10-19,FARIDABAD,Conditioners,,
2021-10-19,FARIDABAD,Wipes,,
2021-10-19,FARIDABAD,Apple Juices,,
2021-10-19,FARIDABAD,Green Tea,,
2021-10-19,FARIDABAD,Muesli,,
2021-10-19,FARIDABAD,Sunscreen Lotions,,
2021-10-19,FARIDABAD,Cooking Paste & Puris,,
2021-10-19,FARIDABAD,Sauces,,
2021-10-19,FARIDABAD,Baked Snacks,,
2021-10-19,FARIDABAD,Loose Salt & Sugar,,
2021-10-19,FARIDABAD,Jeerasar Rice,,
2021-10-19,FARIDABAD,Bleaches,,
2021-10-19,FARIDABAD,Puffed Rice,,
2021-10-19,FARIDABAD,"Cakes, Muffins & Rolls",,
2021-10-19,FARIDABAD,Whole Wheat,,
2021-10-19,FARIDABAD,Broken Wheat (Daliya),,
2021-10-19,FARIDABAD,Other Rice Varieties,,
2021-10-19,FARIDABAD,Cookies,,
2021-10-19,FARIDABAD,Shaving Creams & Foams,,
2021-10-19,FARIDABAD,Sanitizers,,
2021-10-19,FARIDABAD,Multipurpose Cleaners,,
2021-10-19,FARIDABAD,Kabuli Chana,,
2021-10-19,FARIDABAD,Baking Needs,,
2021-10-19,FARIDABAD,Brown & Organic Ghee,,
2021-10-19,FARIDABAD,Herbs & Seasoning,,
2021-10-19,FARIDABAD,Miniket Rice,,
2021-10-19,FARIDABAD,Boiled Rice,,
2021-10-19,FARIDABAD,Aluminium Foils,,
2021-10-19,FARIDABAD,Onion,,
2021-10-19,FARIDABAD,Potato,,
2021-10-19,FARIDABAD,Coconut,,
2021-10-19,FARIDABAD,90 Days Pouch  Milk,,
2021-10-19,FARIDABAD,Sesame Oil,,
2021-10-19,FARIDABAD,Printing Paper,,
2021-10-19,FARIDABAD,Rajma,,
2021-10-19,FARIDABAD,Ragi Flour,,
2021-10-19,FARIDABAD,Other Pulses,,
2021-10-19,FARIDABAD,Other Cereals,,
2021-10-19,FARIDABAD,Coconut Oil,,
2021-10-19,FARIDABAD,Ponni Rice,,
2021-10-19,FARIDABAD,Table Butter,,
2021-10-19,FARIDABAD,Processed Cheese,,
2021-10-19,FARIDABAD,Cheese Slice,,
2021-10-19,FARIDABAD,Margarine,,
2021-10-19,FARIDABAD,Nuts & Seeds,,
2021-10-19,FARIDABAD,Deodorants,,
2021-10-19,FARIDABAD,Tin Paneer (Ambient),,
2021-10-19,GULBARGA,Digestive Care,,
2021-10-19,GULBARGA,Pain Relief,,
2021-10-19,GULBARGA,First Aids,,
2021-10-19,GULBARGA,Cold & Cough Remedies,,
2021-10-19,GULBARGA,Whole Wheat,,
2021-10-19,GULBARGA,Shaving Creams & Foams,,
2021-10-19,GULBARGA,Onion,,
2021-10-19,GULBARGA,Potato,,
2021-10-19,GULBARGA,Coconut,,
2021-10-19,GULBARGA,Deodorants,,
2021-10-19,GUNTUR,Stain Removers,,
2021-10-19,GUNTUR,Whole Wheat,,
2021-10-19,GUNTUR,Onion,,
2021-10-19,GUNTUR,Potato,,
2021-10-19,GUNTUR,Coconut,,
2021-10-19,GUNTUR,Other Cereals,,
2021-10-19,HUBLI,Onion,,
2021-10-19,HUBLI,Potato,,
2021-10-19,HUBLI,Coconut,,
2021-10-19,HYDERABAD,Baked Snacks,,
2021-10-19,HYDERABAD,Loose Salt & Sugar,,
2021-10-19,HYDERABAD,"Cakes, Muffins & Rolls",,
2021-10-19,HYDERABAD,Whole Wheat,,
2021-10-19,HYDERABAD,Cookies,,
2021-10-19,HYDERABAD,Brown & Organic Ghee,,
2021-10-19,HYDERABAD,Onion,,
2021-10-19,HYDERABAD,Potato,,
2021-10-19,HYDERABAD,Coconut,,
2021-10-19,HYDERABAD,Other Cereals,,
2021-10-19,HYDERABAD,Table Butter,,
2021-10-19,HYDERABAD,Processed Cheese,,
2021-10-19,HYDERABAD,Cheese Slice,,
2021-10-19,HYDERABAD,Margarine,,
2021-10-19,HYDERABAD,Deodorants,,
2021-10-19,HYDERABAD,Tin Paneer (Ambient),,
2021-10-19,INDORE,Mosquito Repellents,,
2021-10-19,INDORE,Insect Control,,
2021-10-19,INDORE,Digestive Care,,
2021-10-19,INDORE,Pain Relief,,
2021-10-19,INDORE,First Aids,,
2021-10-19,INDORE,Jaggery,,
2021-10-19,INDORE,Face Cleansers & Toners,,
2021-10-19,INDORE,Baby Food & Cereals,,
2021-10-19,INDORE,Infant Formulae,,
2021-10-19,INDORE,Cold & Cough Remedies,,
2021-10-19,INDORE,Conditioners,,
2021-10-19,INDORE,Sunscreen Lotions,,
2021-10-19,INDORE,Loose Salt & Sugar,,
2021-10-19,INDORE,Bleaches,,
2021-10-19,INDORE,Onion,,
2021-10-19,INDORE,Potato,,
2021-10-19,INDORE,Coconut,,
2021-10-19,JHAJJAR,Digestive Care,,
2021-10-19,JHAJJAR,Pain Relief,,
2021-10-19,JHAJJAR,First Aids,,
2021-10-19,JHAJJAR,Cold & Cough Remedies,,
2021-10-19,JHAJJAR,Whole Wheat,,
2021-10-19,JHAJJAR,Onion,,
2021-10-19,JHAJJAR,Potato,,
2021-10-19,JHAJJAR,Coconut,,
2021-10-19,KAIKALUR,Basmati Rice,,
2021-10-19,KAIKALUR,Wheat Atta,,
2021-10-19,KAIKALUR,Sunflower Oil,,
2021-10-19,KAIKALUR,Palm Oil,,
2021-10-19,KAIKALUR,Salt,,
2021-10-19,KAIKALUR,Blended Masalas,,
2021-10-19,KAIKALUR,Powdered Spices,,
2021-10-19,KAIKALUR,Cream Biscuits & Wafers,,
2021-10-19,KAIKALUR,Other Biscuits & Cookies,,
2021-10-19,KAIKALUR,Noodles,,
2021-10-19,KAIKALUR,Chocos & Flakes,,
2021-10-19,KAIKALUR,Chips,,
2021-10-19,KAIKALUR,Chocolates,,
2021-10-19,KAIKALUR,Ketchups,,
2021-10-19,KAIKALUR,Jams & Preserves,,
2021-10-19,KAIKALUR,Children Health Drinks,,
2021-10-19,KAIKALUR,Instant Coffee,,
2021-10-19,KAIKALUR,Roast & Ground Coffee,,
2021-10-19,KAIKALUR,Dust Tea,,
2021-10-19,KAIKALUR,Leaf Tea,,
2021-10-19,KAIKALUR,Lassi,,
2021-10-19,KAIKALUR,Pure Desi Ghee,,
2021-10-19,KAIKALUR,Milk Powders,,
2021-10-19,KAIKALUR,Condensed Milk,,
2021-10-19,KAIKALUR,Milk Creams,,
2021-10-19,KAIKALUR,Buttermilk,,
2021-10-19,KAIKALUR,Packaged Water,,
2021-10-19,KAIKALUR,Mango Drinks,,
2021-10-19,KAIKALUR,Cold Drinks,,
2021-10-19,KAIKALUR,Powders,,
2021-10-19,KAIKALUR,Bathing Soaps,,
2021-10-19,KAIKALUR,"Oils, Creams & Lotions",,
